,Provincia,FORMULAS - AGRUPACIONES    POLITICAS,VOTOS,%
176,SANTA FE,WALSH - DE    LEONARDI (ALIANZA IZQUIERDA UNIDA),13517,0.008
177,SANTA FE,ALTAMIRA -    RIEZNIK (OBRERO),10200,0.006
178,SANTA FE,MENDEZ -    POMPEI (HUMANISTA),8315,0.0049
179,SANTA FE,MUSSA -    HERRERA (ALIANZA SOCIAL CRISTIANA),5289,0.0031
180,SANTA FE,REYNA - MOCCIA    (ALIANZA FRENTE DE LA RESISTENCIA),4953,0.0029
181,SANTA FE,MONTES -    HERNANDEZ (DE LOS TRABAJADORES SOCIALISTAS),3902,0.0023
182,SANTA FE,QUARRACINO -    REARTE (SOCIALISTA AUTENTICO),3809,0.0022
183,SANTIAGO DEL ESTERO,DUHALDE -    ORTEGA (ALIANZA CONCERTACION JUSTICIALISTA PARA EL CAMBIO),193333,0.5681
184,SANTIAGO DEL ESTERO,"DE LA RUA -    ALVAREZ (ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA EDUCACION)",131869,0.3875
185,SANTIAGO DEL ESTERO,CAVALLO - CARO    FIGUEROA (ACCION POR LA REPUBLICA),12253,0.036000000000000004
186,SANTIAGO DEL ESTERO,WALSH - DE    LEONARDI (ALIANZA IZQUIERDA UNIDA),927,0.0027
187,SANTIAGO DEL ESTERO,MENDEZ -    POMPEI (HUMANISTA),590,0.0017000000000000001
188,SANTIAGO DEL ESTERO,MUSSA -    HERRERA (ALIANZA SOCIAL CRISTIANA),590,0.0017000000000000001
189,SANTIAGO DEL ESTERO,REYNA - MOCCIA    (ALIANZA FRENTE DE LA RESISTENCIA),399,0.0012
190,SANTIAGO DEL ESTERO,ALTAMIRA -    RIEZNIK (OBRERO),371,0.0011
191,TUCUMAN,"DE LA RUA -    ALVAREZ (ALIANZA PARA EL TRABAJO, LA JUSTICIA Y LA EDUCACION)",283802,0.47609999999999997
192,TUCUMAN,DUHALDE -    ORTEGA (ALIANZA CONCERTACION JUSTICIALISTA PARA EL CAMBIO),250211,0.41979999999999995
193,TUCUMAN,CAVALLO - CARO    FIGUEROA (ACCION POR LA REPUBLICA),49532,0.08310000000000001
194,TUCUMAN,ALTAMIRA -    RIEZNIK (OBRERO),3032,0.0051
195,TUCUMAN,MENDEZ -    POMPEI (HUMANISTA),2402,0.004
196,TUCUMAN,WALSH - DE    LEONARDI (ALIANZA IZQUIERDA UNIDA),2086,0.0034999999999999996
197,TUCUMAN,REYNA - MOCCIA    (ALIANZA FRENTE DE LA RESISTENCIA),1924,0.0032
198,TUCUMAN,MUSSA -    HERRERA (ALIANZA SOCIAL CRISTIANA),1825,0.0031
199,TUCUMAN,MONTES - HERNANDEZ (DE LOS TRABAJADORES    SOCIALISTAS),1262,0.0021
